"bsv"	"context before"	"bioagressors"	"context after"	"location"	"features"
"01F57Zd3vFWg1itsp44SIT8E"	": Le pourcentage de"	"larves"	"mobiles et fixées d"	"526-532"	"type=BIOAGRESSOR, $=larve, form=larves"
"01F57Zd3vFWg1itsp44SIT8E"	"maine du 4 juillet."	"Mineuse"	"(Phyllocnistis citr"	"830-837"	"type=BIOAGRESSOR, $=mineuse, form=Mineuse"
"01F57Zd3vFWg1itsp44SIT8E"	"ella Staint.) : Les"	"larves"	"de la mineuse se no"	"877-883"	"type=BIOAGRESSOR, $=larve, form=larves"
"01F57Zd3vFWg1itsp44SIT8E"	": Les larves de la"	"mineuse"	"se nourrissent des"	"890-897"	"type=BIOAGRESSOR, $=mineuse, form=mineuse"
"01F57Zd3vFWg1itsp44SIT8E"	"s. Les dégâts de la"	"mineuse"	"peuvent entraîner u"	"1145-1152"	"type=BIOAGRESSOR, $=mineuse, form=mineuse"
"01F57Zd3vFWg1itsp44SIT8E"	"élevé. Galeries de"	"mineuse"	"(D Tommasi, CDA2B)"	"1804-1811"	"type=BIOAGRESSOR, $=mineuse, form=mineuse"
"02_bsv_raisin_29032012_V3"	"EGETAL 29 mars 2012"	"OïDIUM"	"Début de la période"	"122-128"	"type=BIOAGRESSOR, $=oïdium, form=OïDIUM"
"02_bsv_raisin_29032012_V3"	"ode de sensibilité."	"EXCORIOSE"	"Présence de symptôm"	"165-174"	"type=BIOAGRESSOR, $=excoriose, form=EXCORIOSE"
"02_bsv_raisin_29032012_V3"	"ies sont annoncées."	"THRIPS"	"COCHENILLES Période"	"251-257"	"type=BIOAGRESSOR, $=thrips, form=THRIPS"
"02_bsv_raisin_29032012_V3"	"els vers de grappe ("	"eudémis"	") et 2 sites maintie"	"1443-1450"	"type=BIOAGRESSOR, $=eudémis, form=eudémis"
"02_bsv_raisin_29032012_V3"	"nt une surveillance"	"eulia"	"et cochylis (Moissa"	"1493-1498"	"type=BIOAGRESSOR, $=eulia, form=eulia"
"02_bsv_raisin_29032012_V3"	"rveillance eulia et"	"cochylis"	"(Moissac et Cazes M"	"1502-1510"	"type=BIOAGRESSOR, $=cochylis, form=cochylis"
"02_bsv_raisin_29032012_V3"	"problèmes comme les"	"parasites"	"émergents (cochenil"	"2275-2284"	"type=BIOAGRESSOR, $=parasite, form=parasites"
"02_bsv_raisin_29032012_V3"	"henilles lécanines,"	"thrips"	", acariens), qui ne"	"2319-2325"	"type=BIOAGRESSOR, $=thrips, form=thrips"
"02_bsv_raisin_29032012_V3"	"lécanines, thrips,"	"acariens"	"), qui ne sont pas f"	"2327-2335"	"type=BIOAGRESSOR, $=acariens, form=acariens"
"02_bsv_raisin_29032012_V3"	"z les observateurs."	"OÏDIUM"	"Situation dans les"	"2432-2438"	"type=BIOAGRESSOR, $=oïdium, form=OÏDIUM"
