"bsv"	"context before"	"bioagressors"	"context after"	"location"	"features"
"01_TB_Als_cle8c6253"	"s avancés. Maladies"	"Botrytis"	"Olpidium Ravageurs"	"392-400"	"type=BIOAGRESSOR, $=botrytis, form=Botrytis"
"01_TB_Als_cle8c6253"	"Olpidium Ravageurs"	"Limaces"	"Pucerons Adventices"	"420-427"	"type=BIOAGRESSOR, $=limace, form=Limaces"
"01_TB_Als_cle8c6253"	"m Ravageurs Limaces"	"Pucerons"	"Adventices et plant"	"428-436"	"type=BIOAGRESSOR, $=puceron, form=Pucerons"
"01_TB_Als_cle8c6253"	"ventices et plantes"	"parasites"	"Tabac Quelques serr"	"459-468"	"type=BIOAGRESSOR, $=parasite, form=parasites"
"01_TB_Als_cle8c6253"	"n séchage. MALADIES"	"Botrytis"	"Aucun cas de botryt"	"694-702"	"type=BIOAGRESSOR, $=botrytis, form=Botrytis"
"01_TB_Als_cle8c6253"	"semaine. RAVAGEURS"	"Limaces"	"Des attaques de lim"	"1323-1330"	"type=BIOAGRESSOR, $=limace, form=Limaces"
"01_TB_Als_cle8c6253"	"ces Des attaques de"	"limaces"	"sont notées un peu"	"1347-1354"	"type=BIOAGRESSOR, $=limace, form=limaces"
"01_TB_Als_cle8c6253"	"miter l'arrivée des"	"limaces"	"sur les plateaux il"	"1553-1560"	"type=BIOAGRESSOR, $=limace, form=limaces"
"01_TB_Als_cle8c6253"	"abords des serres."	"Pucerons"	"Le premier puceron"	"1720-1728"	"type=BIOAGRESSOR, $=puceron, form=Pucerons"
"01_TB_Als_cle8c6253"	"Pucerons Le premier"	"puceron"	"a été observé dans"	"1740-1747"	"type=BIOAGRESSOR, $=puceron, form=puceron"
"01_TB_Als_cle8c6253"	"VENTICES ET PLANTES"	"PARASITES"	"Adventices Des adve"	"2032-2041"	"type=BIOAGRESSOR, $=parasite, form=PARASITES"
"05_GC_Als_cle8c3f61"	"nouvelles feuilles."	"Oïdium"	"ORGE On observe de"	"341-347"	"type=BIOAGRESSOR, $=oïdium, form=Oïdium"
"05_GC_Als_cle8c3f61"	"uilles âgées. Stade"	"Oïdium"	"Ravageur A noter ég"	"437-443"	"type=BIOAGRESSOR, $=oïdium, form=Oïdium"
"05_GC_Als_cle8c3f61"	"ntent des dégâts de"	"larves"	"d'oscinies. BLE BLE"	"512-518"	"type=BIOAGRESSOR, $=larve, form=larves"
"05_GC_Als_cle8c3f61"	"les plus précoces."	"Oscinie"	"sur céréales à pail"	"798-805"	"type=BIOAGRESSOR, $=oscinie, form=Oscinie"
"05_GC_Als_cle8c3f61"	"y trouve une petite"	"larve"	". Ces attaques sont"	"1227-1232"	"type=BIOAGRESSOR, $=larve, form=larve"
"05_GC_Als_cle8c3f61"	"de cet automne. La"	"larve"	"devrait se nymphose"	"1290-1295"	"type=BIOAGRESSOR, $=larve, form=larve"
"05_GC_Als_cle8c3f61"	"ymptômes anciens de"	"septoriose"	". Ces taches n'ont à"	"1696-1706"	"type=BIOAGRESSOR, $=septoriose, form=septoriose"
"05_GC_Als_cle8c3f61"	"ymptôme "" poireau """	"Larve"	"dans une plante La"	"2183-2188"	"type=BIOAGRESSOR, $=larve, form=Larve"
"05_GC_Als_cle8c3f61"	"dans une plante La"	"larve"	"Chambre d'agricultu"	"2208-2213"	"type=BIOAGRESSOR, $=larve, form=larve"
"05_GC_Als_cle8c3f61"	"oyenne par plante)."	"Charançon"	"de la tige du colza"	"2773-2782"	"type=BIOAGRESSOR, $=charançon, form=Charançon"
"05_GC_Als_cle8c3f61"	"n, le risque élevé."	"Méligèthe"	"L'arrivée des mélig"	"3130-3139"	"type=BIOAGRESSOR, $=méligèthe, form=Méligèthe"
"05_GC_Als_cle8c3f61"	"aux compensations 1"	"méligèthe"	"par plante 2 - 3 mé"	"4092-4101"	"type=BIOAGRESSOR, $=méligèthe, form=méligèthe"
"05_GC_Als_cle8c3f61"	"tteint le stade D1."	"Larve"	"d'altise qui a détr"	"4494-4499"	"type=BIOAGRESSOR, $=larve, form=Larve"
"05_GC_Als_cle8c3f61"	"e bourgeon terminal"	"Altise"	"Des dégâts de larve"	"4544-4550"	"type=BIOAGRESSOR, $=altise, form=Altise"
