"bsv"	"type"	"length"	"context before"	"form"	"prefLabel"	"context after"	"location"	"features"
"01_TB_Als_cle8c6253"	"html"	"2478"	"ns : plus de 95% de"	"graines"	"chanvre oléagineux"	"germées ce qui lais"	"192-199"	"IRI=http://ontology.inrae.fr/frenchcropusage/Chanvres_oleagineux, tomap-candidate-head=graines, tomap-concept-synonym=graine de chanvre, tomap-significant-head=graines, tomap-classifier=head, similarity=0.3333333333333333, skos-prefLabel=chanvre oléagineux, skos-prefLabel=chanvre oléagineux, skos-prefLabel=chanvre oléagineux, skos-prefLabel=chanvre oléagineux, skos-prefLabel=chanvre oléagineux, form=graines"
"01_TB_Als_cle8c6253"	"html"	"2478"	"t plantes parasites"	"Tabac"	"tabac"	"Quelques serres ont"	"469-474"	"IRI=http://ontology.inrae.fr/frenchcropusage/Tabac, tomap-classifier=exact, similarity=1.0, skos-prefLabel=tabac, skos-prefLabel=tabac, skos-prefLabel=tabac, form=Tabac"
"01_TB_Als_cle8c6253"	"html"	"2478"	"d'éparpiller de la"	"paille"	"céréale à paille"	", du miscanthus broy"	"1613-1619"	"IRI=http://ontology.inrae.fr/frenchcropusage/Cereales_paille, tomap-classifier=exact, similarity=1.0, skos-prefLabel=céréale à paille, skos-prefLabel=céréale à paille, skos-prefLabel=céréale à paille, form=paille"
"05_GC_Als_cle8c3f61"	"html"	"4795"	""	"Grandes cultures"	"grande culture"	"N°5 du 24 mars 201"	"1-17"	"IRI=http://ontology.inrae.fr/frenchcropusage/Grandes_cultures, tomap-classifier=exact, similarity=1.0, skos-prefLabel=grande culture, skos-prefLabel=grande culture, form=Grandes cultures"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"N°5 du 24 mars 2015"	"Grandes cultures
ORGE"	"orge de printemps"	"Sur les 12 parcelle"	"39-60"	"IRI=http://ontology.inrae.fr/frenchcropusage/Orges_printemps, tomap-candidate-head=culture, tomap-concept-synonym=orge de printemps à deux rangs, tomap-significant-head=Orge, tomap-classifier=head, similarity=0.16666666666666666, skos-prefLabel=orge de printemps, skos-prefLabel=orge de printemps, skos-prefLabel=orge de printemps, skos-prefLabel=orge de printemps, form=Grandes cultures
ORGE"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"es feuilles. Oïdium"	"ORGE"	"orge"	"On observe de façon"	"348-352"	"IRI=http://ontology.inrae.fr/frenchcropusage/Orges, tomap-classifier=exact, similarity=1.0, skos-prefLabel=orge, form=ORGE"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"NIES SUR CEREALES A"	"PAILLE"	"céréale à paille"	"Les températures cl"	"580-586"	"IRI=http://ontology.inrae.fr/frenchcropusage/Cereales_paille, tomap-classifier=exact, similarity=1.0, skos-prefLabel=céréale à paille, skos-prefLabel=céréale à paille, skos-prefLabel=céréale à paille, form=PAILLE"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"argement profité au"	"blé"	"blé"	". Le redressement a"	"662-665"	"IRI=http://ontology.inrae.fr/frenchcropusage/Bles, tomap-classifier=exact, similarity=1.0, skos-prefLabel=blé, skos-prefLabel=blé, form=blé"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"écoces. Oscinie sur"	"céréales à paille"	"céréale à paille"	"Des dégâts d'oscini"	"810-827"	"IRI=http://ontology.inrae.fr/frenchcropusage/Cereales_paille, tomap-classifier=exact, similarity=1.0, skos-prefLabel=céréale à paille, skos-prefLabel=céréale à paille, skos-prefLabel=céréale à paille, form=céréales à paille"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"et une parcelle de"	"blé"	"blé"	"du réseau. Ces dégâ"	"910-913"	"IRI=http://ontology.inrae.fr/frenchcropusage/Bles, tomap-classifier=exact, similarity=1.0, skos-prefLabel=blé, skos-prefLabel=blé, form=blé"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"écocement. Comme en"	"maïs"	"maïs"	", les attaques d'osc"	"1006-1010"	"IRI=http://ontology.inrae.fr/frenchcropusage/Mais, tomap-classifier=exact, similarity=1.0, skos-prefLabel=maïs, form=maïs"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"lage important : la"	"céréale"	"céréale"	"prend l'aspect d'un"	"1147-1154"	"IRI=http://ontology.inrae.fr/frenchcropusage/Cereales, tomap-classifier=exact, similarity=1.0, skos-prefLabel=céréale, skos-prefLabel=céréale, skos-prefLabel=céréale, form=céréale"
"05_GC_Als_cle8c3f61"	"html"	"4795"	": la céréale prend"	"l'aspect d'un poireau"	"poireau"	". En fendant le pied"	"1161-1182"	"IRI=http://ontology.inrae.fr/frenchcropusage/Poireaux, tomap-candidate-head=poireau, tomap-concept-synonym=poireau, tomap-significant-head=poireau, tomap-classifier=head, similarity=0.3333333333333333, skos-prefLabel=poireau, form=l'aspect d'un poireau"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"ed, on y trouve une"	"petite"	"petit fruit"	"larve. Ces attaques"	"1220-1226"	"IRI=http://ontology.inrae.fr/frenchcropusage/Petits_fruits, tomap-classifier=exact, similarity=1.0, skos-prefLabel=petit fruit, skos-prefLabel=petit fruit, form=petite"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"ler pondre dans les"	"maïs"	"maïs"	". L'intensité des at"	"1389-1393"	"IRI=http://ontology.inrae.fr/frenchcropusage/Mais, tomap-classifier=exact, similarity=1.0, skos-prefLabel=maïs, form=maïs"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"t plus faible qu'en"	"maïs"	"maïs"	". Maladies Sur certa"	"1551-1555"	"IRI=http://ontology.inrae.fr/frenchcropusage/Mais, tomap-classifier=exact, similarity=1.0, skos-prefLabel=maïs, form=maïs"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"lles contaminations"	"COLZA
Stades"	"colza de printemps"	"Ravageurs Animateur"	"1834-1846"	"IRI=http://ontology.inrae.fr/frenchcropusage/Colzas_printemps, tomap-candidate-head=Colza, tomap-concept-synonym=colza printemps, tomap-significant-head=Colza, tomap-classifier=head, similarity=0.3333333333333333, skos-prefLabel=colza de printemps, skos-prefLabel=colza de printemps, form=COLZA
Stades"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"l Union. Symptôme """	"poireau"	"poireau"	""" Larve dans une pl"	"2173-2180"	"IRI=http://ontology.inrae.fr/frenchcropusage/Poireaux, tomap-classifier=exact, similarity=1.0, skos-prefLabel=poireau, form=poireau"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"TIAN de printemps."	"COLZA
Stade"	"colza de printemps"	"Toutes les parcelle"	"2368-2379"	"IRI=http://ontology.inrae.fr/frenchcropusage/Colzas_printemps, tomap-candidate-head=Colza, tomap-concept-synonym=colza printemps, tomap-significant-head=Colza, tomap-classifier=head, similarity=0.3333333333333333, skos-prefLabel=colza de printemps, skos-prefLabel=colza de printemps, form=COLZA
Stade"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"ançon de la tige du"	"colza"	"colza"	"Le vol qui a débuté"	"2797-2802"	"IRI=http://ontology.inrae.fr/frenchcropusage/Colzas, tomap-classifier=exact, similarity=1.0, skos-prefLabel=colza, form=colza"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"t vigoureux Etat du"	"colza
Stade"	"colza de printemps"	"boutons accolés (D1"	"3832-3843"	"IRI=http://ontology.inrae.fr/frenchcropusage/Colzas_printemps, tomap-candidate-head=Colza, tomap-concept-synonym=colza printemps, tomap-significant-head=Colza, tomap-classifier=head, similarity=0.3333333333333333, skos-prefLabel=colza de printemps, skos-prefLabel=colza de printemps, form=colza
Stade"
"05_GC_Als_cle8c3f61"	"html"	"4795"	"à 9 méligèthes par"	"plante
Colza"	"colza de printemps"	"handicapé, peu vigo"	"4007-4019"	"IRI=http://ontology.inrae.fr/frenchcropusage/Colzas_printemps, tomap-candidate-head=plantes, tomap-concept-synonym=colza printemps, tomap-significant-head=Colza, tomap-classifier=head, similarity=0.5, skos-prefLabel=colza de printemps, skos-prefLabel=colza de printemps, form=plante
Colza"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"ACTUALITÉS"	"JARDINS ORNEMENTAUX"	"zone non agricole"	"BuisPsylle : présen"	"13-32"	"IRI=http://ontology.inrae.fr/frenchcropusage/Zones_non_agricoles, tomap-candidate-head=Jardin, tomap-concept-synonym=jardins, tomap-significant-head=Jardin, tomap-classifier=head, similarity=0.5, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, form=JARDINS ORNEMENTAUX"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"âts en augmentation"	"Rosier"	"rosier"	"Aphrophore - cicade"	"150-156"	"IRI=http://ontology.inrae.fr/frenchcropusage/Rosiers, tomap-classifier=exact, similarity=1.0, skos-prefLabel=rosier, skos-prefLabel=rosier, form=Rosier"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"es premières larves"	"POTAGERS"	"jardins familiaux"	"ChouAltise : impact"	"321-329"	"IRI=http://ontology.inrae.fr/frenchcropusage/Cultures_jardins_familiaux, tomap-classifier=exact, similarity=1.0, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, form=POTAGERS"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"perte de la culture"	"VERGERS"	"arboriculture fruitière"	"PommierCarpocapse :"	"616-623"	"IRI=http://ontology.inrae.fr/frenchcropusage/Arboriculture_fruitiere, tomap-classifier=exact, similarity=1.0, skos-prefLabel=arboriculture fruitière, skos-prefLabel=arboriculture fruitière, skos-prefLabel=arboriculture fruitière, skos-prefLabel=arboriculture fruitière, skos-prefLabel=arboriculture fruitière, form=VERGERS"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"GASTINEL - POLLENIZ"	"JARDINS ORNEMENTAUX"	"zone non agricole"	"B uis Psylle : pré"	"1058-1077"	"IRI=http://ontology.inrae.fr/frenchcropusage/Zones_non_agricoles, tomap-candidate-head=Jardin, tomap-concept-synonym=jardins, tomap-significant-head=Jardin, tomap-classifier=head, similarity=0.5, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, form=JARDINS ORNEMENTAUX"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"Régions lavalloise,"	"espaces verts"	"zone non agricole"	". Observations Le si"	"1159-1172"	"IRI=http://ontology.inrae.fr/frenchcropusage/Zones_non_agricoles, tomap-classifier=exact, similarity=1.0, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, form=espaces verts"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"de Sainte Hermine."	"Espaces verts"	"zone non agricole"	", parc et jardins d'"	"2739-2752"	"IRI=http://ontology.inrae.fr/frenchcropusage/Zones_non_agricoles, tomap-classifier=exact, similarity=1.0, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, form=Espaces verts"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"aces verts, parc et"	"jardins d'amateurs"	"zone non agricole"	". Observations Hormi"	"2762-2780"	"IRI=http://ontology.inrae.fr/frenchcropusage/Zones_non_agricoles, tomap-candidate-head=Jardin, tomap-concept-synonym=jardins, tomap-significant-head=Jardin, tomap-classifier=head, similarity=0.5, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, form=jardins d'amateurs"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"ervations Hormis un"	"jardin"	"zone non agricole"	"(pays d'Ancenis), l"	"2805-2811"	"IRI=http://ontology.inrae.fr/frenchcropusage/Zones_non_agricoles, tomap-classifier=exact, similarity=1.0, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, form=jardin"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"région lavalloise,"	"jardins d'amateurs"	"zone non agricole"	". Observations Depui"	"4104-4122"	"IRI=http://ontology.inrae.fr/frenchcropusage/Zones_non_agricoles, tomap-candidate-head=Jardin, tomap-concept-synonym=jardins, tomap-significant-head=Jardin, tomap-classifier=head, similarity=0.5, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, form=jardins d'amateurs"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	", y compris les lys"	"géants"	"miscanthus"	"d'Himalaya. En Maye"	"4324-4330"	"IRI=http://ontology.inrae.fr/frenchcropusage/Miscanthus_industriels, tomap-candidate-head=géants, tomap-concept-synonym=miscanthus Géante, tomap-significant-head=géants, tomap-classifier=head, similarity=0.5, skos-prefLabel=miscanthus, skos-prefLabel=miscanthus, skos-prefLabel=miscanthus, form=géants"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"aya. En Mayenne, le"	"jardin"	"zone non agricole"	"surveillé en est to"	"4358-4364"	"IRI=http://ontology.inrae.fr/frenchcropusage/Zones_non_agricoles, tomap-classifier=exact, similarity=1.0, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, form=jardin"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"ecteur lavallois et"	"cœur du bocage vendéen"	"palmier"	", jardins d'amateurs"	"5162-5184"	"IRI=http://ontology.inrae.fr/frenchcropusage/Palmiers, tomap-candidate-head=cœur, tomap-concept-synonym=coeur de palmier, tomap-significant-head=cœur, tomap-classifier=head, similarity=0.16666666666666666, skos-prefLabel=palmier, skos-prefLabel=palmier, skos-prefLabel=palmier, form=cœur du bocage vendéen"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"du bocage vendéen,"	"jardins d'amateurs"	"zone non agricole"	". Aphrophore - cica"	"5186-5204"	"IRI=http://ontology.inrae.fr/frenchcropusage/Zones_non_agricoles, tomap-candidate-head=Jardin, tomap-concept-synonym=jardins, tomap-significant-head=Jardin, tomap-classifier=head, similarity=0.5, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, form=jardins d'amateurs"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"IZ Amas de mousse -"	"rosier
 Maladie des taches noires"	"rosier odorant"	": absence Observati"	"6084-6117"	"IRI=http://ontology.inrae.fr/frenchcropusage/Rosiers_parfum, tomap-candidate-head=Rosier, tomap-concept-synonym=rosier odorante, tomap-significant-head=Rosier, tomap-classifier=head, similarity=0.16666666666666666, skos-prefLabel=rosier odorant, skos-prefLabel=rosier odorant, form=rosier
 Maladie des taches noires"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"(principalement sur"	"rosier"	"rosier"	"grimpant Pierre de"	"7785-7791"	"IRI=http://ontology.inrae.fr/frenchcropusage/Rosiers, tomap-classifier=exact, similarity=1.0, skos-prefLabel=rosier, skos-prefLabel=rosier, form=rosier"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"iaires observés sur"	"rosier"	"rosier"	", dans le BSV JEVI n"	"8519-8525"	"IRI=http://ontology.inrae.fr/frenchcropusage/Rosiers, tomap-classifier=exact, similarity=1.0, skos-prefLabel=rosier, skos-prefLabel=rosier, form=rosier"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"e d'huile végétale ("	"colza"	"colza"	"). Un traitement à b"	"8895-8900"	"IRI=http://ontology.inrae.fr/frenchcropusage/Colzas, tomap-classifier=exact, similarity=1.0, skos-prefLabel=colza, form=colza"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"lloise, d'amateurs."	"jardins
Observations"	"zone non agricole"	"Le site présente de"	"9324-9344"	"IRI=http://ontology.inrae.fr/frenchcropusage/Zones_non_agricoles, tomap-candidate-head=Jardin, tomap-concept-synonym=jardins, tomap-significant-head=Jardin, tomap-classifier=head, similarity=0.5, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, form=jardins
Observations"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"N°05 DU 2 MAI 2019"	"POTAGERS"	"jardins familiaux"	"C hou Réseaux d'obs"	"10016-10024"	"IRI=http://ontology.inrae.fr/frenchcropusage/Cultures_jardins_familiaux, tomap-classifier=exact, similarity=1.0, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, form=POTAGERS"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"Haut-Anjou (49) et"	"cœur du bocage vendéen"	"palmier"	", potagers de partic"	"10098-10120"	"IRI=http://ontology.inrae.fr/frenchcropusage/Palmiers, tomap-candidate-head=cœur, tomap-concept-synonym=coeur de palmier, tomap-significant-head=cœur, tomap-classifier=head, similarity=0.16666666666666666, skos-prefLabel=palmier, skos-prefLabel=palmier, skos-prefLabel=palmier, form=cœur du bocage vendéen"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"du bocage vendéen,"	"potagers"	"jardins familiaux"	"de particulier. Al"	"10122-10130"	"IRI=http://ontology.inrae.fr/frenchcropusage/Cultures_jardins_familiaux, tomap-classifier=exact, similarity=1.0, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, form=potagers"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"es jeunes plants de"	"chou"	"chou"	". Analyse et gestion"	"10304-10308"	"IRI=http://ontology.inrae.fr/frenchcropusage/Choux, tomap-classifier=exact, similarity=1.0, skos-prefLabel=chou, form=chou"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"de jeunes plants de"	"choux"	"chou"	"repiqués (choux-rav"	"10815-10820"	"IRI=http://ontology.inrae.fr/frenchcropusage/Choux, tomap-classifier=exact, similarity=1.0, skos-prefLabel=chou, form=choux"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"de choux repiqués ("	"choux"	"chou"	"-raves, choux cabus,"	"10831-10836"	"IRI=http://ontology.inrae.fr/frenchcropusage/Choux, tomap-classifier=exact, similarity=1.0, skos-prefLabel=chou, form=choux"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"iqués (choux-raves,"	"choux cabus"	"chou pommé"	", choux de Bruxelles"	"10844-10855"	"IRI=http://ontology.inrae.fr/frenchcropusage/Choux_pommes, tomap-classifier=exact, similarity=1.0, skos-prefLabel=chou pommé, skos-prefLabel=chou pommé, form=choux cabus"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"raves, choux cabus,"	"choux de Bruxelles"	"chou de Bruxelles"	") par des pigeons. E"	"10857-10875"	"IRI=http://ontology.inrae.fr/frenchcropusage/Choux_Bruxelles, tomap-classifier=exact, similarity=1.0, skos-prefLabel=chou de Bruxelles, form=choux de Bruxelles"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"s. Environ 90 % des"	"choux"	"chou"	"ont été ravagés. Da"	"10911-10916"	"IRI=http://ontology.inrae.fr/frenchcropusage/Choux, tomap-classifier=exact, similarity=1.0, skos-prefLabel=chou, form=choux"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"e de la Loire (49),"	"potager"	"jardins familiaux"	"d'amateurs. Observa"	"12181-12188"	"IRI=http://ontology.inrae.fr/frenchcropusage/Cultures_jardins_familiaux, tomap-classifier=exact, similarity=1.0, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, form=potager"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"3 feuilles) par une"	"petite"	"petit fruit"	"larve responsable d"	"12339-12345"	"IRI=http://ontology.inrae.fr/frenchcropusage/Petits_fruits, tomap-classifier=exact, similarity=1.0, skos-prefLabel=petit fruit, skos-prefLabel=petit fruit, form=petite"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"che (mineuse) de la"	"betterave"	"betterave"	", appelée également"	"12427-12436"	"IRI=http://ontology.inrae.fr/frenchcropusage/Betteraves, tomap-classifier=exact, similarity=1.0, skos-prefLabel=betterave, form=betterave"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"es ou adventices du"	"potager"	"jardins familiaux"	"(betterave, chénopo"	"12588-12595"	"IRI=http://ontology.inrae.fr/frenchcropusage/Cultures_jardins_familiaux, tomap-classifier=exact, similarity=1.0, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, form=potager"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"entices du potager ("	"betterave"	"betterave"	", chénopode, épinard"	"12597-12606"	"IRI=http://ontology.inrae.fr/frenchcropusage/Betteraves, tomap-classifier=exact, similarity=1.0, skos-prefLabel=betterave, form=betterave"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"épinard, poirée ou"	"bette à cardes"	"poirée"	"...). Analyse et ges"	"12638-12652"	"IRI=http://ontology.inrae.fr/frenchcropusage/Poirees, tomap-classifier=exact, similarity=1.0, skos-prefLabel=poirée, skos-prefLabel=poirée, skos-prefLabel=poirée, skos-prefLabel=poirée, skos-prefLabel=poirée, skos-prefLabel=poirée, skos-prefLabel=poirée, skos-prefLabel=poirée, skos-prefLabel=poirée, skos-prefLabel=poirée, skos-prefLabel=poirée, form=bette à cardes"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"illes. F S OCTAU -"	"Potager"	"jardins familiaux"	"d'amateur Larve pré"	"13006-13013"	"IRI=http://ontology.inrae.fr/frenchcropusage/Cultures_jardins_familiaux, tomap-classifier=exact, similarity=1.0, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, form=Potager"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"ns Haut-Anjou (49),"	"potager"	"jardins familiaux"	"d'amateurs. Observa"	"13176-13183"	"IRI=http://ontology.inrae.fr/frenchcropusage/Cultures_jardins_familiaux, tomap-classifier=exact, similarity=1.0, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, form=potager"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"ucerons noirs de la"	"fève"	"fève"	"sur des fèves au st"	"13256-13260"	"IRI=http://ontology.inrae.fr/frenchcropusage/Feves, tomap-classifier=exact, similarity=1.0, skos-prefLabel=fève, form=fève"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"de la fève sur des"	"fèves au stade"	"fève maraichère"	"8 feuilles étalées"	"13269-13283"	"IRI=http://ontology.inrae.fr/frenchcropusage/Feves_maraicheres, tomap-candidate-head=fève, tomap-concept-synonym=petits fève, tomap-significant-head=fève, tomap-classifier=head, similarity=0.25, skos-prefLabel=fève maraichère, skos-prefLabel=fève maraichère, skos-prefLabel=fève maraichère, skos-prefLabel=fève maraichère, form=fèves au stade"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"puceron noir de la"	"fève"	"fève"	", Aphis fabae, peut"	"13426-13430"	"IRI=http://ontology.inrae.fr/frenchcropusage/Feves, tomap-classifier=exact, similarity=1.0, skos-prefLabel=fève, form=fève"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"es). Cf. paragraphe"	"Rosier"	"rosier"	"/puceron. RÉSEAU DE"	"13583-13589"	"IRI=http://ontology.inrae.fr/frenchcropusage/Rosiers, tomap-classifier=exact, similarity=1.0, skos-prefLabel=rosier, skos-prefLabel=rosier, form=Rosier"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"e de la Loire (49),"	"potager"	"jardins familiaux"	"d'amateurs et jardi"	"13780-13787"	"IRI=http://ontology.inrae.fr/frenchcropusage/Cultures_jardins_familiaux, tomap-classifier=exact, similarity=1.0, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, form=potager"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"tager d'amateurs et"	"jardin associatif"	"zone non agricole"	". Hépiale : attaque"	"13802-13819"	"IRI=http://ontology.inrae.fr/frenchcropusage/Zones_non_agricoles, tomap-candidate-head=Jardin, tomap-concept-synonym=jardins, tomap-significant-head=Jardin, tomap-classifier=head, similarity=0.5, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, form=jardin associatif"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"'intégralité de ses"	"jeunes laitues"	"laitue"	", en lien avec la pr"	"13945-13959"	"IRI=http://ontology.inrae.fr/frenchcropusage/Laitues, tomap-candidate-head=LAITUE, tomap-concept-synonym=laitue de serre, tomap-significant-head=LAITUE, tomap-classifier=head, similarity=0.25, skos-prefLabel=laitue, skos-prefLabel=laitue, skos-prefLabel=laitue, form=jeunes laitues"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"et d'escargots. Les"	"autres jardins"	"zone non agricole"	"sont indemnes, les"	"14182-14196"	"IRI=http://ontology.inrae.fr/frenchcropusage/Zones_non_agricoles, tomap-candidate-head=Jardin, tomap-concept-synonym=jardins, tomap-significant-head=Jardin, tomap-classifier=head, similarity=0.5, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, skos-prefLabel=zone non agricole, form=autres jardins"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"sont indemnes, les"	"laitues"	"laitue"	"ne sont pas attaqué"	"14216-14223"	"IRI=http://ontology.inrae.fr/frenchcropusage/Laitues, tomap-classifier=exact, similarity=1.0, skos-prefLabel=laitue, skos-prefLabel=laitue, skos-prefLabel=laitue, form=laitues"
"05bsv_jevi_20190502_cle8f22b6"	"html"	"24032"	"haies). S OCTAU -"	"Potager"	"jardins familiaux"	"d'amateur Larve d'h"	"14430-14437"	"IRI=http://ontology.inrae.fr/frenchcropusage/Cultures_jardins_familiaux, tomap-classifier=exact, similarity=1.0, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, skos-prefLabel=jardins familiaux, form=Potager"
